;"Day";"DJIA.Close";"N225.Close";"SSMI.Close"
2006-12-13;2006-12-13;12317,5;16692,929688;8678,5
2006-12-14;2006-12-14;12416,759766;16829,199219;8776,599609
2006-12-15;2006-12-15;12445,519531;16914,310547;8786,900391
2006-12-18;2006-12-18;12441,269531;16962,109375;8824,299805
2006-12-19;2006-12-19;12471,320313;16776,880859;8763,099609
2006-12-20;2006-12-20;12463,870117;17011,039063;8770,799805
2006-12-21;2006-12-21;12421,25;17047,830078;8775,400391
2006-12-22;2006-12-22;12343,209961;17104,960938;8726,700195
2006-12-27;2006-12-27;12510,570313;17223,150391;8822,200195
2006-12-28;2006-12-28;12501,519531;17224,810547;8803,299805
2006-12-29;2006-12-29;12463,150391;17225,830078;8785,700195
2007-01-04;2007-01-04;12480,69043;17353,669922;8925,200195
2007-01-05;2007-01-05;12398,009766;17091,589844;8900,200195
2007-01-09;2007-01-09;12416,599609;17237,769531;8874
2007-01-10;2007-01-10;12442,160156;16942,400391;8861,599609
2007-01-11;2007-01-11;12514,980469;16838,169922;8987,900391
2007-01-12;2007-01-12;12556,080078;17057,009766;9032,799805
2007-01-16;2007-01-16;12582,589844;17202,460938;9073
2007-01-17;2007-01-17;12577,150391;17261,349609;9104,599609
2007-01-18;2007-01-18;12567,929688;17370,929688;9099,299805
2007-01-19;2007-01-19;12565,530273;17310,439453;9155,099609
2007-01-22;2007-01-22;12477,160156;17424,179688;9102,200195
2007-01-23;2007-01-23;12533,799805;17408,570313;9105,5
2007-01-24;2007-01-24;12621,769531;17507,400391;9153,099609
2007-01-25;2007-01-25;12502,55957;17458,300781;9134,099609
2007-01-26;2007-01-26;12487,019531;17421,929688;9041,099609
2007-01-29;2007-01-29;12490,780273;17470,460938;9110,799805
2007-01-30;2007-01-30;12523,30957;17490,189453;9147
2007-01-31;2007-01-31;12621,69043;17383,419922;9135,099609
2007-02-01;2007-02-01;12673,679688;17519,5;9217,900391
2007-02-02;2007-02-02;12653,490234;17547,109375;9260,5
2007-02-05;2007-02-05;12661,740234;17344,800781;9257,900391
